gsm_accession	attribute	occurrence	attribute_order	value
GSM2184781	title	0	0	YFV2012002 PBMC Day 0
GSM2184781	geo_accession	0	1	GSM2184781
GSM2184781	status	0	2	Public on Jun 25 2017
GSM2184781	submission_date	0	3	Jun 02 2016
GSM2184781	last_update_date	0	4	Jun 26 2017
GSM2184781	type	0	5	RNA
GSM2184781	channel_count	0	6	1
GSM2184781	source_name_ch1	0	7	human Day 0
GSM2184781	organism_ch1	0	8	Homo sapiens
GSM2184781	characteristics_ch1	0	9	subject id: YFV2012002
GSM2184781	characteristics_ch1	1	10	time points: Day 0
GSM2184781	characteristics_ch1	2	11	groups: G1
GSM2184781	characteristics_ch1	3	12	gender: Male
GSM2184781	molecule_ch1	0	13	total RNA
GSM2184781	extract_protocol_ch1	0	14	After PMBC isolation, 1 × 10^6 PBMC cells were lysed in 1 ml of TRIzol (Life technologies, Carlsbad, CA, USA) immediately and stored at -80℃. The samples were thawed and RNA extracted following the manufacturer’s instructions. The quality of the RNA was assessed by using Nanodrop 2000 Spectrometer (Thermo Scientific, MA, USA) as well as by visualization of the integrity of the 28S and 18S band on Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA, USA).  Qualified total RNA was further purified by RNeasy micro kit (QIAGEN, GmBH, Germany) and removed genomic contamination by RNase-Free DNase Set (QIAGEN, GmBH, Germany).  The purified RNA was stored at -80℃.
GSM2184781	label_ch1	0	15	biotin
GSM2184781	label_protocol_ch1	0	16	Total RNA were amplified, labeled and purified by using the GeneChip 3’IVT Express Kit (Affymetrix, Santa Clara, CA, USA) followed the manufacturer’s instructions to obtain biotin labeled cRNA.
GSM2184781	taxid_ch1	0	17	9606
GSM2184781	hyb_protocol	0	18	After hybridization on Human PrimeView Arrays for 16 h at 45℃ and 60 rpm in Hybridization Oven 640 (Affymetrix, Santa Clara, CA, USA), slides were washed and stained with a Fluidics Station 450 (Affymetrix, Santa Clara, CA, USA).
GSM2184781	scan_protocol	0	19	Scanning was performed on a seventh-generation GeneChip Scanner 3000 (Affymetrix, Santa Clara, CA, USA). Affymetrix GCOS software was used to perform image analysis and generate raw intensity data.
GSM2184781	data_processing	0	20	Initially, data quality was assessed by background level, 3’ labeling bias, RNA quality and pair-wise correlation among samples. For the PrimeView chip, the customized CDF (version 17, ENTREZG) downloaded from the BrainArray website was performed in probe set mapping. IQR was applied for raw data filtering using the genefilter package, and the threshold was set to remove probes/genes with IQR less than the 20th percentile of the IQR’s across all probes/genes. . Normalization was performed with RMA algorithm that includes global background adjustment and quantile normalization. The resulting matrix showed genes as rows and samples as columns was log2 transformed and used as input for linear modeling using the limma package.The limma package was performed to identify differentially expressed genes (DEG) at any time point post immunization, compared with baseline (Day 0). Empirical Bayes moderation of the standard error and Benjamini and Hochberg false-discovery rate (FDR) correction for multiple testing were employed, and the criteria for differentially expressed genes (DEG) were threshold fold change more than 1.5 and BH adjusted FDR less than 0.01.
GSM2184781	platform_id	0	21	GPL21975
GSM2184781	contact_name	0	22	Yiming,,Shao
GSM2184781	contact_email	0	23	yshao@bjmu.edu.cn
GSM2184781	contact_department	0	24	National Center for AIDS/STD Control and Prevention
GSM2184781	contact_institute	0	25	Chinese Center for Disease Control and Prevention
GSM2184781	contact_address	0	26	No. 155 Changbai Road, Changping District
GSM2184781	contact_city	0	27	Beijing
GSM2184781	contact_state	0	28	Beijing
GSM2184781	contact_zip/postal_code	0	29	102206
GSM2184781	contact_country	0	30	China
GSM2184781	supplementary_file	0	31	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2184nnn/GSM2184781/suppl/GSM2184781_YFV2012002-1.CEL.gz
GSM2184781	data_row_count	0	32	18563
GSM2184782	title	0	0	YFV2012002 PBMC Hour 4
GSM2184782	geo_accession	0	1	GSM2184782
GSM2184782	status	0	2	Public on Jun 25 2017
GSM2184782	submission_date	0	3	Jun 02 2016
GSM2184782	last_update_date	0	4	Jun 26 2017
GSM2184782	type	0	5	RNA
GSM2184782	channel_count	0	6	1
GSM2184782	source_name_ch1	0	7	human Hour 4
GSM2184782	organism_ch1	0	8	Homo sapiens
