gsm_accession	attribute	occurrence	attribute_order	value
GSM344057	title	0	0	Day3_YF1222; VaxDesign Mimic experiment
GSM344057	geo_accession	0	1	GSM344057
GSM344057	status	0	2	Public on Dec 01 2008
GSM344057	submission_date	0	3	Nov 19 2008
GSM344057	last_update_date	0	4	Nov 27 2008
GSM344057	type	0	5	RNA
GSM344057	channel_count	0	6	1
GSM344057	source_name_ch1	0	7	Frozen stocks of autologous PBMCs were used as a source of lymphocytes.
GSM344057	organism_ch1	0	8	Homo sapiens
GSM344057	characteristics_ch1	0	9	Yellow Fever unexposed volunteer
GSM344057	biomaterial_provider_ch1	0	10	Donald R. Drake,VaxDesign Corporation, 12612 Challenger Parkway, Suite 365, Orlando, FL 32826, USA
GSM344057	treatment_protocol_ch1	0	11	Purified CD4+ T cells were co-cultured in the Mimic System with YF17D-pulsed DCs at a ratio of 60:1 for 3 days
GSM344057	molecule_ch1	0	12	total RNA
GSM344057	extract_protocol_ch1	0	13	Total RNA was purified using RNA extraction kits from Qiagen.  Quantification was performed using NanoDrop Technologies spectrophotometer and RNA quality was assessed using the Experion automated electrophoresis system from Bio-Rad.
GSM344057	label_ch1	0	14	biotin
GSM344057	label_protocol_ch1	0	15	Total RNA as amplified and labeled using the Illumina TotalPrep RNA Amplication kit which is based on the Eberwine amplification protocol. It involves a first cDNA synthesis step followed by in vitro transcription of cRNA.
GSM344057	taxid_ch1	0	16	9606
GSM344057	hyb_protocol	0	17	The biotinylated cRNA was hybridized onto Illumina Human RefSeq-8 BeadChips v2 at 58oC for 20 hours.
GSM344057	scan_protocol	0	18	Fluorescent array images were collected with Illumina BeadStation 500GX scanner fluorescent scanner and image intensity data were extracted using Illumina BeadStudio version 3 software.
GSM344057	description	0	19	PBMCs used in the assays were acquired from normal healthy donors enrolled in a VaxDesign Corporation apheresis study program (protocol CRRI 0906009). Blood collections were performed at Florida’s Blood Centers (Olrando, FL) using standard techniques.  The enriched leukocytes were isolated and cryopreserved. Human DCs were prepared as described in Gaucher et al. “Yellow fever vaccine induces integrated multilineage and polyfunctional immune responses , J. Exp. Med XXX. After 5 days of culture with IL-4 and GM-CSF, the DCs were infected with a 1:100 dilution of the live-attenuated YF-VAX® vaccine.  After 24 hrs, 5% human AB serum was added to the media to quench the infection. Alternatively, some of the DCs we not infected.  On the sixth day, all DCs were matured with an overnight treatment of 25 ng/mL TNF- (R&D Systems).
GSM344057	data_processing	0	20	"Illuma probe data were exported from BeadStudio as raw data and were screened for quality.  Samples failing chip visual inspection and control examination were removed. The R software was used to quantile normalize the probe intensities, and to minimum-replace (surrogate-replacement policy) values below background using the mean background vale of the probe controls rounded up to the rearest power of 2, determined from the microarray quality controls to reduce noise and reduce ""over-inflated"" expression ratios in subsequent steps."
GSM344057	platform_id	0	21	GPL6883
GSM344057	contact_name	0	22	Bastian,Robert,Angermann
GSM344057	contact_email	0	23	angerb@gmx.de
GSM344057	contact_fax	0	24	5143437854
GSM344057	contact_laboratory	0	25	Laboratoire d'immunologie
GSM344057	contact_institute	0	26	Centre de Recherche du Centre Hospitalier de l’Université de Montréal (CR-CHUM) Saint-Luc
GSM344057	contact_address	0	27	264 René-Lévesque Est
